"nid","title","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao"
3190,"PREMIER SHOP IMPORTAÇÃO E EXPORTAÇÃO LTDA","Audiovisual","Copa e cozinha","Eletrodomésticos","Ferragens e ferramentas","Gêneros alimentícios","Informática (acessórios e equipamentos)","Informática (softwares)","Informática (suprimentos)","Limpeza e higiene","Material de escritório e desenho (papelaria)","Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)","Material para eventos (sacola, caneta, chaveiro e outros)","Material para pintura",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2626,"Milani & Milani Ltda - ME","Tradução de textos","Tradução simultânea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2625,"Frank Mili Comercio de carpetes Ltda EPP","Tapeçaria e decoração",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3291,"SALES INDÚSTRIA E COMÉRCIO DE MÁQUINAS LTDA","Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721,"MASSIS TEC LTDA","Informática (acessórios e equipamentos)","Informática (softwares)","Informática (suprimentos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720,"MARIA ANGELA DE MORAES-ME","Gêneros alimentícios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2627,"Imprensa Oficial do Estado S/A - IMESP","Impressão gráfica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2628,"LAVORE COMERCIO DE MOVEIS E CADEIRAS PARA ESCRITÓRIO  LTDA.  EPP","Mobiliário","Tapeçaria e decoração",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2629,"FACIMAQ COM. MÓVEIS PARA ESCRITÓRIO ARARAQUARA LTDA - ME","Material e equipamento de laboratório","Informática (acessórios e equipamentos)","Mobiliário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2630,"ELMAFLEX INDUSTRIA  E  COMERCIO  DE  MOVEIS  PARA ESCRITORIO LTDA.","Mobiliário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2631,"ONIX MIDIA DIGITAL LTDA","Audiovisual","Impressão gráfica","Informática (acessórios e equipamentos)","Material e equipamento gráfico","Serviço de áudio e vídeo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2634,"TEC IMPRES SERVIÇOS DE MANUTENÇÃO DE MÁQUINAS LTDA","Impressão gráfica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2635,"SAM TECNOLOGIA EM INFORMATICA LTDA ME","Audiovisual","Eletrodomésticos","Informática (acessórios e equipamentos)","Informática (softwares)","Informática (suprimentos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2930,"RV Service Comercila Eletronica LTDA","Audiovisual","Informática (acessórios e equipamentos)","Informática (softwares)","Informática (suprimentos)","Segurança e proteção","Serviço de áudio e vídeo","Tapeçaria e decoração","Telecomunicações",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2638,"MARTE INDUSTRIA DE MOBILIARIO LTDA EPP","Mobiliário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2639,"BELLCOMSYS COM. E PREST. DE SERV. EM INFORMÁTICA LTDA.","Eletrodomésticos","Informática (acessórios e equipamentos)","Informática (softwares)","Informática (suprimentos)","Telecomunicações",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3122,"CASAGRANDE GOURMET BUFFET LTDA - ME","Copa e cozinha","Organização de eventos e buffet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2641,"Comércio de Materiais para Construção Parque Rio Pequeno Ltda","Ferragens e ferramentas","Material elétrico","Material hidráulico","Material para construção","Material para pintura",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2642,"EUNICE DE QUEIROZ MORAES OSASCO ME","Vidraçaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2643,"Artline Indústria e Comércio de Móveis Ltda","Mobiliário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2644,"Diamantools Comércio e Serviços Ltda.-EPP","Informática (acessórios e equipamentos)","Telecomunicações",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2645,"AIHA importação e Exportação Ltda.","Material elétrico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2646,"TURISMO LUVERAN LTDA","Transportes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
