"nid","title","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao"
2703,"italia office ind.com.de moveis ltda","Mobiliário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704,"LIVRARIA CANUTO LTDA","Livros",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705,"Publint Publicações Nacionais e Internacionais Ltda","Livros",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706,"VIA LUMENS AUDIO VIDEO E INFORMATICA LTDA","Audiovisual","Copa e cozinha","Eletrodomésticos","Informática (acessórios e equipamentos)","Refrigeração","Telecomunicações",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,"LIVRARIA I.R. LTDA. - EPP","Jornais e revistas","Livros",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708,"COMACOL COMERCIO DE MATERIAIS DE CONSTRUÇÃO LTDA","Material para construção",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709,"CGP COMERCIAL","Ferragens e ferramentas","Madeiras","Material elétrico","Material hidráulico","Material para construção","Material para pintura",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710,"FABRIPEL COMERCIO E INDUSTRIA DE PAPÉIS LTDA","Papéis e cartões",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711,"ASSISMAQ COMERCIO E ASSISTENCIA TECNICA DE MAQUINAS LTDA","Material e equipamento gráfico","Serviço gráfico (afiação de faca gráfica)","Serviço gráfico (manutenção de máquinas e equipamentos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712,"Sonia Regina de Siqueira Trevisan ME","Comunicação visual (banners, faixas, sinalização e placas de identificação)","Copa e cozinha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713,"JULIANA MOREIRA DA SILVA IVASE CAMPINAS-ME","Refrigeração",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714,"ANTONIO VICENTE DE OLIVEIRA JUNIOR ME - NSA COMERCIAL","Audiovisual","Combustíveis, gases e lubrificantes","Comunicação visual (banners, faixas, sinalização e placas de identificação)","Copa e cozinha","Eletrodomésticos","Material de escritório e desenho (papelaria)","Ferragens e ferramentas","Gêneros alimentícios","Informática (acessórios e equipamentos)","Informática (softwares)","Informática (suprimentos)","Limpeza e higiene","Material elétrico","Material hidráulico","Material para construção","Material para pintura","Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)","Material e equipamento gráfico","Médico-hospitalar","Mobiliário","Papéis e cartões","Tapeçaria e decoração","Uniformes","Vidraçaria",,,,,,,,,,,,,,,,,,,,
2715,"LUBRIFICANTES MOEMA PRODUTOS AUTOMOTIVOS E INDUSTRIAIS LTDA","Combustíveis, gases e lubrificantes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716,"CENTRAL DISTRIBUIDORA DE PAPÉIS LTDA","Papéis e cartões",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717,"SENA PEÇAS PARA MÁQUINAS GRÁFICAS LTDA.","Impressão gráfica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2718,"Moveis D Milar Indsutria e Comercio Ltda","Copa e cozinha","Mobiliário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719,"C.M.P SERVIÇOS LTDA - ME","Serviço de diagramação","Serviço de revisão de textos acadêmicos","Tradução de textos","Tradução simultânea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723,"Semeflex Comércio e Manutenção de Móveis para Escritório Ltda","Tapeçaria e decoração",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724,"JOSÉ APARECIDO DE OLIVEIRA VIDROS - ME","Serviço de serralheria","Vidraçaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725,"A&J EMPREENDIMENTOS COMERCIAIS LTDA EPP","Audiovisual","Chaveiro","Eletrodomésticos","Ferragens e ferramentas","Jornais e revistas","Livros","Madeiras","Material de escritório e desenho (papelaria)","Material e equipamento de laboratório","Material elétrico","Material hidráulico","Material para construção","Material para eventos (sacola, caneta, chaveiro e outros)","Material para pintura","Uniformes","Veículos (peças e acessórios)","Vidraçaria",,,,,,,,,,,,,,,,,,,,,,,,,,,
2726,"Treze Comercial Ltda - Me","Copa e cozinha","Gêneros alimentícios","Limpeza e higiene","Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,"Dieva Pastas Para Eventos Ltda ME","Material para eventos (sacola, caneta, chaveiro e outros)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728,"L C RIBEIRO MATERIAIS GRAFICOS","Comunicação visual (banners, faixas, sinalização e placas de identificação)","Material e equipamento gráfico","Papéis e cartões","Produtos químicos","Serviço gráfico (afiação de faca gráfica)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2729,"MAXPEL INFORMÁTICA E PAPELARIA LTDA.","Informática (acessórios e equipamentos)","Informática (suprimentos)","Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)","Material para eventos (sacola, caneta, chaveiro e outros)","Papéis e cartões",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730,"RODIMAG EQUIPAMENTOS INDUSTRIAIS LTDA","Serviço de serralheria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731,"KDL Tecnologia em Iluminação Ltda. (EPP)","Ferragens e ferramentas","Material elétrico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732,"Micromax Comercio e Serviços em Informatica Ltda - EPP","Informática (acessórios e equipamentos)","Informática (softwares)","Informática (suprimentos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733,"INDÚSTRIA E COMÉRCIO MÓVEIS KUTZ LTDA.","Madeiras","Mobiliário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734,"Miori Comércio de Pneus e Acessórios Ltda","Veículos (peças e acessórios)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2735,"SHALON MADEIRAS LTDA","Madeiras","Material para construção",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736,"IGM MATERIAIS ELETRICOS LTDA - EPP","Ferragens e ferramentas","Material elétrico","Material hidráulico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737,"Four Confecção de Uniformes LTDA","Uniformes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738,"Alesco Industria e Comercio Ltda","Médico-hospitalar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739,"MARIA GORETI TAVARES DE SOUZA ME","Carimbos","Chaveiro","Digitalização de textos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740,"Art Printer Gráficos Ltda","Impressão gráfica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3643,"EXTINTORES EXTINFRAN LTDA","Segurança e proteção",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742,"DISÁGUA DISTRIBUIDORA LTDA","Gêneros alimentícios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743,"OMEGA LIMP COMERCIO E SERVIÇOS LTDA","Copa e cozinha","Limpeza e higiene",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744,"L.L.COMÉRCIO DE FERRAMENTAS LTDA","Ferragens e ferramentas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745,"PATRICIA RAIA MOVEIS - EPP","Mobiliário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746,"ABACOR INDÚSTRIA E COMÉRCIO LTDA.","Material para eventos (sacola, caneta, chaveiro e outros)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747,"OMEGATI COMÉRCIO DE INFORMÁTICA LTDA","Audiovisual","Material de escritório e desenho (papelaria)","Informática (acessórios e equipamentos)","Informática (softwares)","Informática (suprimentos)","Serviço gráfico (manutenção de máquinas e equipamentos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2748,"INDUSTRIA GRAFICA BRASILEIRA LTDA","Digitalização de textos","Impressão gráfica","Jornais e revistas","Livros","Material e equipamento gráfico","Papéis e cartões","Serviço gráfico (afiação de faca gráfica)","Serviço gráfico (manutenção de máquinas e equipamentos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749,"Livraria  Atlas Ribeirão Ltda","Livros",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750,"Ivandir Policeno ME","Material e equipamento gráfico","Médico-hospitalar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751,"SANTO ANDRE LUBRIFICANTES COMERCIO IMPORTACAO E EXPORTACAO LTDA","Combustíveis, gases e lubrificantes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752,"Pigma Gráfica e Editora Ltda","Impressão gráfica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2753,"TOPP TABLE COMERCIO DE UTENSILIOS PARA RESTAURANTE LTDA","Copa e cozinha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754,"ECO MAIS COMERCIAL DE MADEIRAS LTDA","Madeiras",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2755,"FONTE ROCHA BRANCA LTDA","Copa e cozinha","Gêneros alimentícios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2756,"J BRILHANTE COMERCIAL LTDA EPP","Copa e cozinha","Gêneros alimentícios","Limpeza e higiene","Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)","Material para eventos (sacola, caneta, chaveiro e outros)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2757,"Vidraçaria Alto da Lapa Ltda EPP","Vidraçaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2758,"Mundial Gráfica LTDA","Comunicação visual (banners, faixas, sinalização e placas de identificação)","Impressão gráfica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759,"ECO - COMUNICAÇÕES ELETRÔNICAS LTDA ME","Informática (acessórios e equipamentos)","Informática (softwares)","Informática (suprimentos)","Material elétrico","Serviço de áudio e vídeo","Telecomunicações",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2760,"CORTE RAPIDO COMERCIO DE MADEIRAS LTDA-EPP","Madeiras","Material para construção","Produtos químicos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2761,"COMAVE COMERCIO DE MADEIRAS VELASQUES LTDA EPP","Material para construção",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2762,"Affinidade Moveis para Escritorio e Informatica LTDA ME","Mobiliário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2763,"Adescryn Gráfica Editora Ltda.","Impressão gráfica","Material para eventos (sacola, caneta, chaveiro e outros)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2764,"BRASOFTWARE INFORMATICA LTDA","Cursos e treinamentos","Material e equipamento de laboratório","Informática (softwares)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2765,"Thamys Produtos Especiais LTDA EPP","Comunicação visual (banners, faixas, sinalização e placas de identificação)","Encadernação de livros/revistas","Material e equipamento gráfico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766,"FATOR 969 COMERCIAL LTDA ME","Informática (suprimentos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2767,"Araxa Comercio e Serviços Ltda - Epp","Madeiras","Material elétrico","Material hidráulico","Material para construção","Material para pintura",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3858,"Rita de Cássia Forneiro Jardim-Me","Audiovisual","Organização de eventos e buffet","Serviço de áudio e vídeo","Tradução de textos","Tradução simultânea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769,"PERSAID COMERCIAL E DISTRIBUIDORA LTDA.","Ferragens e ferramentas","Informática (acessórios e equipamentos)","Informática (suprimentos)","Mobiliário","Obras e serviços na construção civil","Tapeçaria e decoração",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2770,"COMERCIO DE UTENSILIOS MULTI-USO LTDA","Limpeza e higiene","Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2771,"TANIA DE FÁTIMA GOZZO -ME","Médico-hospitalar","Segurança e proteção","Uniformes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772,"Tintas Famosas Comercio de tintas Ltda","Material para pintura",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2773,"M.M. Sá Comercio e Repres. LTDA","Audiovisual","Copa e cozinha","Eletrodomésticos","Ferragens e ferramentas","Informática (acessórios e equipamentos)","Informática (softwares)","Material elétrico","Material hidráulico","Material para construção","Refrigeração","Segurança e proteção","Telecomunicações",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2774,"GUIMAR MAGAZINE LTDA","Mobiliário","Tapeçaria e decoração",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775,"JOSÉ AUGUSTO ZABALETA IRIGON","Higienização e restauração de acervo (livros, documentos, slides, microfilmes e outros) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2776,"MICROSTART COMÉRCIO DE SUPRIMENTOS PARA INFORMÁTICA LTDA-EPP","Audiovisual","Eletrodomésticos","Informática (acessórios e equipamentos)","Informática (suprimentos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777,"RODITEC RODIZIOS E CARRINHOS INDUSTRIAIS LTDA","Ferragens e ferramentas","Materiais e equipamentos para movimentação de carga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778,"MARCELO MOURAO ME","Limpeza e higiene","Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)","Produtos químicos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779,"COMERCIAL DE MADEIRAS RISSO LTDA","Ferragens e ferramentas","Madeiras","Material elétrico","Material hidráulico","Material para construção","Material para pintura",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782,"UNIC CENTRAL DISTRIBUIDORA DE MATERIAIS LTDA","Audiovisual","Carimbos","Chaveiro","Comunicação visual (banners, faixas, sinalização e placas de identificação)","Copa e cozinha","Eletrodomésticos","Encadernação de livros/revistas","Material de escritório e desenho (papelaria)","Informática (acessórios e equipamentos)","Informática (suprimentos)","Limpeza e higiene","Livros","Madeiras","Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)","Material e equipamento gráfico","Mobiliário","Papéis e cartões","Produtos químicos","Refrigeração","Serviço de áudio e vídeo","Tapeçaria e decoração","Telecomunicações","Uniformes","Vidraçaria",,,,,,,,,,,,,,,,,,,,
2783,"Di CONSTAN COMERCIAL LTDA EPP","Equipamentos e produtos para Biblioteca (itens para conservação, restauração, encadernação, detecção magnética e outros)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784,"DPS GONÇALVES INDÚSTRIA E COMÉRCIO DE ALIMENTOS LTDA. EPP","Gêneros alimentícios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785,"Ulisses Ricardo Pinto","Refrigeração",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786,"SUPERSET REPROGRAFIA & OFFSET LTDA - EPP","Material e equipamento gráfico","Serviço gráfico (afiação de faca gráfica)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787,"Maria Isabel Gandolfi Donadi Exp. Imp. - ME","Médico-hospitalar","Mobiliário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788,"MIXPRO PRODUTOS PARA INFORMATICA LTDA - ME","Audiovisual","Informática (acessórios e equipamentos)","Informática (softwares)","Informática (suprimentos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789,"Bortolini Indústria de Móveis Ltda.","Mobiliário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790,"Conquista Comercial de Produtos de Limpeza Ltda - ME","Copa e cozinha","Gêneros alimentícios","Limpeza e higiene","Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791,"Damaris Comércio de Móveis e Eletro-Eletrônicos Ltda ME","Eletrodomésticos","Material elétrico","Mobiliário","Refrigeração",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792,"F.F.Faria Paulilo ME","Mobiliário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793,"J.H. GABELLINE MAT.CONST.LTDA","Material para pintura",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794,"WALDEREZ MAGALI SCHIAVON DE OLIVEIRA-EPP","Mobiliário","Serviço de serralheria","Tapeçaria e decoração","Vidraçaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795,"COMETA MATERIAIS ELÉTRICOS LTDA-EPP","Ferragens e ferramentas","Material elétrico","Material hidráulico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796,"L & T INTERIORES, COMÉRCIO DE MÓVEIS LTDA.","Madeiras","Mobiliário","Obras e serviços na construção civil","Serviço de serralheria","Tapeçaria e decoração",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797,"ETIL COMERCIO DE MATERIAL ELETRICO LTDA","Material elétrico","Segurança e proteção",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798,"NICMA MATERIAIS DE ACABAMENTO LTDA","Material para construção",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799,"FUNARI E FUNARI INDÚSTRIA DE MÓVEIS DE AÇO LTDA EPP","Mobiliário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800,"PAULO SERGIO DEZEN-ME","Carimbos","Chaveiro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801,"GRÁFICA CART EDITORA LTDA. - ME","Comunicação visual (banners, faixas, sinalização e placas de identificação)","Impressão gráfica","Jornais e revistas","Livros","Papéis e cartões",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802,"Tachinartes Papelaria em Geral Ltda ME","Comunicação visual (banners, faixas, sinalização e placas de identificação)","Impressão gráfica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804,"Stock Mobile Comércio de Móveis Ltda","Eletrodomésticos","Informática (suprimentos)","Mobiliário","Papéis e cartões",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805,"ANJU SOLUÇÕES GRAICAS","Chaveiro","Material de escritório e desenho (papelaria)","Impressão gráfica","Informática (acessórios e equipamentos)","Material e equipamento gráfico","Material para eventos (sacola, caneta, chaveiro e outros)","Papéis e cartões","Uniformes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806,"PREMIER SHOP IMPORTAÇÃO E EXPORTAÇÃO LTDA.","Eletrodomésticos","Material de escritório e desenho (papelaria)","Informática (acessórios e equipamentos)","Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)","Material para eventos (sacola, caneta, chaveiro e outros)","Papéis e cartões",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807,"Lanco Ltda","Mobiliário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2811,"Artepasta Ind e Com Ltda","Equipamentos e produtos para Biblioteca (itens para conservação, restauração, encadernação, detecção magnética e outros)","Material de escritório e desenho (papelaria)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812,"Paletrans Equipamentos Ltda","Materiais e equipamentos para movimentação de carga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814,"NOZAKI SOLUCOES E TECNOLOGIA LTDA ME","Informática (acessórios e equipamentos)","Informática (softwares)","Informática (suprimentos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815,"casa nova mercatil de ferragens eletrica e hidraulica ltda.","Material elétrico","Material hidráulico","Material para construção","Material para pintura",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816,"EQUIFLEX MÓVEIS ESCRITÓRIO LTDA.","Mobiliário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817,"CAVIGLIA & CIA. LTDA","Equipamentos e produtos para Biblioteca (itens para conservação, restauração, encadernação, detecção magnética e outros)","Mobiliário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818,"G HUANG KAE TUNG ME","Material de escritório e desenho (papelaria)","Serviço de áudio e vídeo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819,"FULL PRIME COMÉRCIO E SERVIÇOS DE INFORMÁTICA LTDA ME","Informática (acessórios e equipamentos)","Informática (softwares)","Informática (suprimentos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820,"Santaço Indústria de Aço Ltda.","Mobiliário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821,"LOBOV CIENTIFICA IMPORTAÇÃO EXPORTAÇÃO COMERCIO DE EQUIPAMENTO PARA LABORATORIOS LTDA","Material e equipamento de laboratório","Médico-hospitalar","Produtos químicos","Refrigeração","Segurança e proteção",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822,"AMARYLLIS PAISAGISMO E JARDINAGEM LTDA","Plantas, mudas e insumos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823,"E COMÉRCIO DE MÓVEIS VICTOR LTDA","Mobiliário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3932,"DIFERENCIAL SUPRIMENTOS E DESCARTAVEIS EIRELI ME","Copa e cozinha","Informática (suprimentos)","Limpeza e higiene","Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)","Material para eventos (sacola, caneta, chaveiro e outros)","Médico-hospitalar","Papéis e cartões","Segurança e proteção - EPI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825,"LIVRARIA MEU LIVRINHO COMÉRCIO DE LIVROS LTDA","Livros",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826,"Ferreira Carvalho - ME","Carimbos","Chaveiro","Comunicação visual (banners, faixas, sinalização e placas de identificação)","Impressão gráfica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2827,"Jéssica Souza da Mata ME","Carimbos","Chaveiro","Comunicação visual (banners, faixas, sinalização e placas de identificação)","Impressão gráfica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2828,"Suprimark Brasil Com. de tintas e papéis Ltda","Comunicação visual (banners, faixas, sinalização e placas de identificação)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2829,"SOMAR COMERCIO E CONTRUÇÕES LTDA","Elevadores","Ferragens e ferramentas","Madeiras","Materiais e equipamentos para movimentação de carga","Material elétrico","Material hidráulico","Material para construção","Material para pintura","Mobiliário","Obras e serviços na construção civil","Serviço de serralheria","Tapeçaria e decoração","Vidraçaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2848,"MACPLAST COMÉRCIO DE PLÁSTICOS E ISOLANTES LTDA","Comunicação visual (banners, faixas, sinalização e placas de identificação)","Digitalização de textos","Encadernação de livros/revistas","Equipamentos e produtos para Biblioteca (itens para conservação, restauração, encadernação, detecção magnética e outros)","Impressão gráfica","Papéis e cartões",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2831,"NEW VISION MANUTENÇÃO E LOCAÇÃO DE PROJETORES LTDA","Audiovisual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2832,"ANTONINHA XAVIER DOS SANTOS - ME","Uniformes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2833,"PAJ COM DE PAPEL ART E ARTESANATO LTDA","Material e equipamento de laboratório","Equipamentos e produtos para Biblioteca (itens para conservação, restauração, encadernação, detecção magnética e outros)","Material de escritório e desenho (papelaria)","Higienização e restauração de acervo (livros, documentos, slides, microfilmes e outros) ","Material para pintura","Produtos químicos","Segurança e proteção",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835,"Board Net Indústria e Comércio de Quadros Eireli - EPP","Comunicação visual (banners, faixas, sinalização e placas de identificação)","Material de escritório e desenho (papelaria)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836,"SÃO JOÃO ALIMENTOS LTDA","Gêneros alimentícios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
