nid,title,ramo
2877,ENCADERNADORA SANTO AMARO LTDA EPP,"Comunicação visual (banners, faixas, sinalização e placas de identificação)"
2877,ENCADERNADORA SANTO AMARO LTDA EPP,Encadernação de livros/revistas
2877,ENCADERNADORA SANTO AMARO LTDA EPP,"Equipamentos e produtos para Biblioteca (itens para conservação, restauração, encadernação, detecção magnética e outros)"
2877,ENCADERNADORA SANTO AMARO LTDA EPP,"Higienização e restauração de acervo (livros, documentos, slides, microfilmes e outros) "
2877,ENCADERNADORA SANTO AMARO LTDA EPP,Impressão gráfica
2877,ENCADERNADORA SANTO AMARO LTDA EPP,Material e equipamento gráfico
2877,ENCADERNADORA SANTO AMARO LTDA EPP,"Material para eventos (sacola, caneta, chaveiro e outros)"
2877,ENCADERNADORA SANTO AMARO LTDA EPP,Papéis e cartões
2878,Isma Indústria Silveira de Móveis de Aço Ltda.,Mobiliário
2879,2 Zoom Vídeo e Produções LTda,Serviço de áudio e vídeo
2880,IBEC ENGENHARIA LTDA,Obras e serviços na construção civil
2880,IBEC ENGENHARIA LTDA,"Plantas, mudas e insumos"
2881,Capachos & Capachos Importação e Comércio Ltda.-EPP,Limpeza e higiene
2881,Capachos & Capachos Importação e Comércio Ltda.-EPP,Tapeçaria e decoração
2882,TECVISUAL COMERCIO E SERVIÇOS,Audiovisual
2882,TECVISUAL COMERCIO E SERVIÇOS,Informática (acessórios e equipamentos)
2882,TECVISUAL COMERCIO E SERVIÇOS,Serviço de áudio e vídeo
2884,LORIGRAF LESTE TINTAS ESPECIAIS LTDA,Impressão gráfica
2884,LORIGRAF LESTE TINTAS ESPECIAIS LTDA,Material e equipamento gráfico
2884,LORIGRAF LESTE TINTAS ESPECIAIS LTDA,Papéis e cartões
2884,LORIGRAF LESTE TINTAS ESPECIAIS LTDA,Produtos químicos
2885,SÃO FRANCISCO COMERCIAL GARDEN LTDA ME,Madeiras
2885,SÃO FRANCISCO COMERCIAL GARDEN LTDA ME,Obras e serviços na construção civil
2885,SÃO FRANCISCO COMERCIAL GARDEN LTDA ME,"Plantas, mudas e insumos"
2888,Infotech Systems Comercial e Serviços de Informatica Ltda,Informática (acessórios e equipamentos)
2888,Infotech Systems Comercial e Serviços de Informatica Ltda,Informática (softwares)
2888,Infotech Systems Comercial e Serviços de Informatica Ltda,Informática (suprimentos)
2889,Shekinah Materiais para Construção Ltda ME,Ferragens e ferramentas
2889,Shekinah Materiais para Construção Ltda ME,Madeiras
2889,Shekinah Materiais para Construção Ltda ME,Material elétrico
2889,Shekinah Materiais para Construção Ltda ME,Material hidráulico
2889,Shekinah Materiais para Construção Ltda ME,Material para construção
2889,Shekinah Materiais para Construção Ltda ME,Material para pintura
2890,Emplaca Automação e Tecnologia Ltda,"Comunicação visual (banners, faixas, sinalização e placas de identificação)"
2890,Emplaca Automação e Tecnologia Ltda,Impressão gráfica
2891,BIGRAPHICS COMERCIO DE PRODUTOS GRÁFICOS LTDA - ME,Impressão gráfica
2891,BIGRAPHICS COMERCIO DE PRODUTOS GRÁFICOS LTDA - ME,Material de escritório e desenho (papelaria)
2891,BIGRAPHICS COMERCIO DE PRODUTOS GRÁFICOS LTDA - ME,"Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)"
2891,BIGRAPHICS COMERCIO DE PRODUTOS GRÁFICOS LTDA - ME,Material e equipamento gráfico
2891,BIGRAPHICS COMERCIO DE PRODUTOS GRÁFICOS LTDA - ME,"Material para eventos (sacola, caneta, chaveiro e outros)"
2891,BIGRAPHICS COMERCIO DE PRODUTOS GRÁFICOS LTDA - ME,Papéis e cartões
2891,BIGRAPHICS COMERCIO DE PRODUTOS GRÁFICOS LTDA - ME,Serviço gráfico (afiação de faca gráfica)
2891,BIGRAPHICS COMERCIO DE PRODUTOS GRÁFICOS LTDA - ME,Serviço gráfico (manutenção de máquinas e equipamentos)
2892,Artplan Indústria e Comércio de Acessórios para Escritório Ltda,Limpeza e higiene
2892,Artplan Indústria e Comércio de Acessórios para Escritório Ltda,Material e equipamento de laboratório
2893,Emplaca Serviços Ltda,"Comunicação visual (banners, faixas, sinalização e placas de identificação)"
2893,Emplaca Serviços Ltda,Impressão gráfica
2893,Emplaca Serviços Ltda,Informática (suprimentos)
2893,Emplaca Serviços Ltda,Papéis e cartões
2894,BCE ELETRONICA COMERCIAL LTDA. EPP,Informática (acessórios e equipamentos)
2894,BCE ELETRONICA COMERCIAL LTDA. EPP,Material elétrico
2895,NOVALAMP COMERCIAL LTDA-EPP,Audiovisual
2895,NOVALAMP COMERCIAL LTDA-EPP,Informática (acessórios e equipamentos)
2895,NOVALAMP COMERCIAL LTDA-EPP,Material elétrico
2896,FHB COMERCIAL ELETRONICA LTDA ME,Audiovisual
2896,FHB COMERCIAL ELETRONICA LTDA ME,Eletrodomésticos
2896,FHB COMERCIAL ELETRONICA LTDA ME,Informática (acessórios e equipamentos)
2896,FHB COMERCIAL ELETRONICA LTDA ME,Material elétrico
2896,FHB COMERCIAL ELETRONICA LTDA ME,Serviço de áudio e vídeo
2897,STUCK COMERCIAL ELETRONICA LTDA,Serviço de áudio e vídeo
2898,FORMATA SOLUÇÕES EM ENERGIA LTDA,Informática (acessórios e equipamentos)
2899,TITAN SOLUTIONS EQUIPAMENTOS DE INFORMATICA LTDA,Informática (acessórios e equipamentos)
2899,TITAN SOLUTIONS EQUIPAMENTOS DE INFORMATICA LTDA,Informática (softwares)
2899,TITAN SOLUTIONS EQUIPAMENTOS DE INFORMATICA LTDA,Informática (suprimentos)
2900,Páginas & Letras Editora e Gráfica Ltda,"Comunicação visual (banners, faixas, sinalização e placas de identificação)"
2900,Páginas & Letras Editora e Gráfica Ltda,Digitalização de textos
2900,Páginas & Letras Editora e Gráfica Ltda,Encadernação de livros/revistas
2900,Páginas & Letras Editora e Gráfica Ltda,Impressão gráfica
2900,Páginas & Letras Editora e Gráfica Ltda,Tradução de textos
2901,"Ambiental Sist. de Higiene e Limpeza, Descartáveis e Copa Ltda-ME",Copa e cozinha
2901,"Ambiental Sist. de Higiene e Limpeza, Descartáveis e Copa Ltda-ME",Limpeza e higiene
2901,"Ambiental Sist. de Higiene e Limpeza, Descartáveis e Copa Ltda-ME","Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)"
2901,"Ambiental Sist. de Higiene e Limpeza, Descartáveis e Copa Ltda-ME",Produtos químicos
2902,NEUZA PEREIRA BARBOSA EPP,Audiovisual
2902,NEUZA PEREIRA BARBOSA EPP,"Comunicação visual (banners, faixas, sinalização e placas de identificação)"
2902,NEUZA PEREIRA BARBOSA EPP,Copa e cozinha
2902,NEUZA PEREIRA BARBOSA EPP,Eletrodomésticos
2902,NEUZA PEREIRA BARBOSA EPP,Ferragens e ferramentas
2902,NEUZA PEREIRA BARBOSA EPP,Informática (acessórios e equipamentos)
2902,NEUZA PEREIRA BARBOSA EPP,Informática (suprimentos)
2902,NEUZA PEREIRA BARBOSA EPP,Madeiras
2902,NEUZA PEREIRA BARBOSA EPP,Materiais e equipamentos para movimentação de carga
2902,NEUZA PEREIRA BARBOSA EPP,Material de escritório e desenho (papelaria)
2902,NEUZA PEREIRA BARBOSA EPP,"Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)"
2902,NEUZA PEREIRA BARBOSA EPP,Material e equipamento de laboratório
2902,NEUZA PEREIRA BARBOSA EPP,Material e equipamento gráfico
2902,NEUZA PEREIRA BARBOSA EPP,Material elétrico
2902,NEUZA PEREIRA BARBOSA EPP,Material hidráulico
2902,NEUZA PEREIRA BARBOSA EPP,Material para construção
2902,NEUZA PEREIRA BARBOSA EPP,"Material para eventos (sacola, caneta, chaveiro e outros)"
2902,NEUZA PEREIRA BARBOSA EPP,Material para pintura
2902,NEUZA PEREIRA BARBOSA EPP,Refrigeração
2902,NEUZA PEREIRA BARBOSA EPP,Vidraçaria
3042,Anhembi Sampa Comércios e Serviços Ltda-ME,Audiovisual
3042,Anhembi Sampa Comércios e Serviços Ltda-ME,Carimbos
3042,Anhembi Sampa Comércios e Serviços Ltda-ME,"Comunicação visual (banners, faixas, sinalização e placas de identificação)"
3042,Anhembi Sampa Comércios e Serviços Ltda-ME,Digitalização de textos
3042,Anhembi Sampa Comércios e Serviços Ltda-ME,Encadernação de livros/revistas
3042,Anhembi Sampa Comércios e Serviços Ltda-ME,Gêneros alimentícios
3042,Anhembi Sampa Comércios e Serviços Ltda-ME,Impressão gráfica
3042,Anhembi Sampa Comércios e Serviços Ltda-ME,Jornais e revistas
3042,Anhembi Sampa Comércios e Serviços Ltda-ME,"Material para eventos (sacola, caneta, chaveiro e outros)"
3042,Anhembi Sampa Comércios e Serviços Ltda-ME,Organização de eventos e buffet
3042,Anhembi Sampa Comércios e Serviços Ltda-ME,Papéis e cartões
3042,Anhembi Sampa Comércios e Serviços Ltda-ME,Serviço de áudio e vídeo
3042,Anhembi Sampa Comércios e Serviços Ltda-ME,Tapeçaria e decoração
3042,Anhembi Sampa Comércios e Serviços Ltda-ME,Uniformes
2904,COLUMBIA COMERCIO DE DESCARTAVEIS LTDA,"Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)"
2905,RTB DISTRIBUIDORA DE MATERIAL ELETRICO LTDA,Informática (acessórios e equipamentos)
2905,RTB DISTRIBUIDORA DE MATERIAL ELETRICO LTDA,Informática (softwares)
2905,RTB DISTRIBUIDORA DE MATERIAL ELETRICO LTDA,Informática (suprimentos)
2905,RTB DISTRIBUIDORA DE MATERIAL ELETRICO LTDA,Material elétrico
2905,RTB DISTRIBUIDORA DE MATERIAL ELETRICO LTDA,Obras e serviços na construção civil
2906,Leandro Moutinho Caçapava Comércio de Equipamentos de Informática Ltda. EPP,Audiovisual
2906,Leandro Moutinho Caçapava Comércio de Equipamentos de Informática Ltda. EPP,Eletrodomésticos
2906,Leandro Moutinho Caçapava Comércio de Equipamentos de Informática Ltda. EPP,Informática (acessórios e equipamentos)
2906,Leandro Moutinho Caçapava Comércio de Equipamentos de Informática Ltda. EPP,Informática (softwares)
2906,Leandro Moutinho Caçapava Comércio de Equipamentos de Informática Ltda. EPP,Informática (suprimentos)
2906,Leandro Moutinho Caçapava Comércio de Equipamentos de Informática Ltda. EPP,Material de escritório e desenho (papelaria)
2906,Leandro Moutinho Caçapava Comércio de Equipamentos de Informática Ltda. EPP,Material e equipamento gráfico
2906,Leandro Moutinho Caçapava Comércio de Equipamentos de Informática Ltda. EPP,Telecomunicações
2907,GGL INDDÚSTRIA DE MÓVEIS DE AÇO LTDA,Mobiliário
2908,BNT MOVEIS COMERCIO E SERVIÇOS LTDA,Mobiliário
2909,R.N DOS SANTOS COMERCIAL-ME,Material elétrico
2910,Labate Papéis Máquinas e Suprimentos Ltda,Material e equipamento gráfico
2910,Labate Papéis Máquinas e Suprimentos Ltda,Papéis e cartões
2911,Promtec Informática Ltda - ME,Impressão gráfica
2911,Promtec Informática Ltda - ME,Informática (acessórios e equipamentos)
2911,Promtec Informática Ltda - ME,Informática (suprimentos)
2911,Promtec Informática Ltda - ME,Material e equipamento de laboratório
2911,Promtec Informática Ltda - ME,Material e equipamento gráfico
2911,Promtec Informática Ltda - ME,Papéis e cartões
2912,Qualilimp Com.de Mat.de Limp.Ltda,Copa e cozinha
2912,Qualilimp Com.de Mat.de Limp.Ltda,"Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)"
2913,Walter Batista da Silva Projetores ME,Audiovisual
2913,Walter Batista da Silva Projetores ME,Serviço de áudio e vídeo
2914,QUALITY CLIMA AR CONDICIONADO LTDA ME,Refrigeração
2915,FABIANE MEIRA DE LUNA,Carimbos
2915,FABIANE MEIRA DE LUNA,Chaveiro
2915,FABIANE MEIRA DE LUNA,Eletrodomésticos
2915,FABIANE MEIRA DE LUNA,Encadernação de livros/revistas
2915,FABIANE MEIRA DE LUNA,"Equipamentos e produtos para Biblioteca (itens para conservação, restauração, encadernação, detecção magnética e outros)"
2915,FABIANE MEIRA DE LUNA,Ferragens e ferramentas
2915,FABIANE MEIRA DE LUNA,Impressão gráfica
2915,FABIANE MEIRA DE LUNA,Informática (acessórios e equipamentos)
2915,FABIANE MEIRA DE LUNA,Informática (suprimentos)
2915,FABIANE MEIRA DE LUNA,Limpeza e higiene
2915,FABIANE MEIRA DE LUNA,Material de escritório e desenho (papelaria)
2915,FABIANE MEIRA DE LUNA,Material e equipamento de laboratório
2915,FABIANE MEIRA DE LUNA,Material e equipamento gráfico
2915,FABIANE MEIRA DE LUNA,Material para pintura
2915,FABIANE MEIRA DE LUNA,Papéis e cartões
2915,FABIANE MEIRA DE LUNA,Vidraçaria
2916,TIGER BRASIL COM IMP EXP EQUIP AUDIO E VIDEO LTDA EPP,Audiovisual
2916,TIGER BRASIL COM IMP EXP EQUIP AUDIO E VIDEO LTDA EPP,Serviço de áudio e vídeo
2917,PONTUAL COMÉRCIO E ASSISTENCIA TÉCNICA LTDA.,Audiovisual
2917,PONTUAL COMÉRCIO E ASSISTENCIA TÉCNICA LTDA.,"Comunicação visual (banners, faixas, sinalização e placas de identificação)"
2917,PONTUAL COMÉRCIO E ASSISTENCIA TÉCNICA LTDA.,Eletrodomésticos
2917,PONTUAL COMÉRCIO E ASSISTENCIA TÉCNICA LTDA.,Ferragens e ferramentas
2917,PONTUAL COMÉRCIO E ASSISTENCIA TÉCNICA LTDA.,Informática (acessórios e equipamentos)
2917,PONTUAL COMÉRCIO E ASSISTENCIA TÉCNICA LTDA.,Informática (softwares)
2917,PONTUAL COMÉRCIO E ASSISTENCIA TÉCNICA LTDA.,Informática (suprimentos)
2917,PONTUAL COMÉRCIO E ASSISTENCIA TÉCNICA LTDA.,Limpeza e higiene
2917,PONTUAL COMÉRCIO E ASSISTENCIA TÉCNICA LTDA.,Materiais e equipamentos para movimentação de carga
2917,PONTUAL COMÉRCIO E ASSISTENCIA TÉCNICA LTDA.,Material de escritório e desenho (papelaria)
2917,PONTUAL COMÉRCIO E ASSISTENCIA TÉCNICA LTDA.,Material e equipamento de laboratório
2917,PONTUAL COMÉRCIO E ASSISTENCIA TÉCNICA LTDA.,Material elétrico
2917,PONTUAL COMÉRCIO E ASSISTENCIA TÉCNICA LTDA.,Material hidráulico
2917,PONTUAL COMÉRCIO E ASSISTENCIA TÉCNICA LTDA.,Material para construção
2917,PONTUAL COMÉRCIO E ASSISTENCIA TÉCNICA LTDA.,Material para pintura
2917,PONTUAL COMÉRCIO E ASSISTENCIA TÉCNICA LTDA.,Médico-hospitalar
2917,PONTUAL COMÉRCIO E ASSISTENCIA TÉCNICA LTDA.,Mobiliário
2917,PONTUAL COMÉRCIO E ASSISTENCIA TÉCNICA LTDA.,Obras e serviços na construção civil
2917,PONTUAL COMÉRCIO E ASSISTENCIA TÉCNICA LTDA.,Refrigeração
2917,PONTUAL COMÉRCIO E ASSISTENCIA TÉCNICA LTDA.,Segurança e proteção
2917,PONTUAL COMÉRCIO E ASSISTENCIA TÉCNICA LTDA.,Serviço de áudio e vídeo
2917,PONTUAL COMÉRCIO E ASSISTENCIA TÉCNICA LTDA.,Serviço de serralheria
2918,NEUZA MARIA IZZO - ME,Audiovisual
2918,NEUZA MARIA IZZO - ME,"Comunicação visual (banners, faixas, sinalização e placas de identificação)"
2918,NEUZA MARIA IZZO - ME,Eletrodomésticos
2918,NEUZA MARIA IZZO - ME,Ferragens e ferramentas
2918,NEUZA MARIA IZZO - ME,Informática (acessórios e equipamentos)
2918,NEUZA MARIA IZZO - ME,Informática (softwares)
2918,NEUZA MARIA IZZO - ME,Informática (suprimentos)
2918,NEUZA MARIA IZZO - ME,Material de escritório e desenho (papelaria)
2918,NEUZA MARIA IZZO - ME,"Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)"
2918,NEUZA MARIA IZZO - ME,Material e equipamento de laboratório
2918,NEUZA MARIA IZZO - ME,Material elétrico
2918,NEUZA MARIA IZZO - ME,Material hidráulico
2918,NEUZA MARIA IZZO - ME,Material para construção
2918,NEUZA MARIA IZZO - ME,Material para pintura
2918,NEUZA MARIA IZZO - ME,Médico-hospitalar
2918,NEUZA MARIA IZZO - ME,Mobiliário
2918,NEUZA MARIA IZZO - ME,Obras e serviços na construção civil
2918,NEUZA MARIA IZZO - ME,Refrigeração
2918,NEUZA MARIA IZZO - ME,Segurança e proteção
2918,NEUZA MARIA IZZO - ME,Serviço de áudio e vídeo
2918,NEUZA MARIA IZZO - ME,Serviço de serralheria
2918,NEUZA MARIA IZZO - ME,Serviço gráfico (manutenção de máquinas e equipamentos)
2918,NEUZA MARIA IZZO - ME,Telecomunicações
2918,NEUZA MARIA IZZO - ME,Vidraçaria
2919,VILLATRADE COM. IMP. E EXP. LTDA,"Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)"
2920,TRADINTER LOGISTICA DE EVENTOS LTDA,Tradução de textos
2920,TRADINTER LOGISTICA DE EVENTOS LTDA,Tradução simultânea
2921,MS Tecnopon Equipamentos Especiais Ltda,Material e equipamento de laboratório
2922,Múltipla Suprimentos para Escritório Ltda,Copa e cozinha
2922,Múltipla Suprimentos para Escritório Ltda,Encadernação de livros/revistas
2922,Múltipla Suprimentos para Escritório Ltda,Informática (suprimentos)
2922,Múltipla Suprimentos para Escritório Ltda,Limpeza e higiene
2922,Múltipla Suprimentos para Escritório Ltda,Material de escritório e desenho (papelaria)
2922,Múltipla Suprimentos para Escritório Ltda,"Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)"
2922,Múltipla Suprimentos para Escritório Ltda,"Material para eventos (sacola, caneta, chaveiro e outros)"
2922,Múltipla Suprimentos para Escritório Ltda,Papéis e cartões
2923,OMEGA BRASIL SOLUCOES EM INFORMATICA IMPORTACAO EXPORTACAO E REPRESENTACAO LTDA,Informática (acessórios e equipamentos)
2923,OMEGA BRASIL SOLUCOES EM INFORMATICA IMPORTACAO EXPORTACAO E REPRESENTACAO LTDA,Informática (softwares)
2923,OMEGA BRASIL SOLUCOES EM INFORMATICA IMPORTACAO EXPORTACAO E REPRESENTACAO LTDA,Informática (suprimentos)
2924,S.Master Comercio de Produtos Promocionais Ltda - ME,"Material para eventos (sacola, caneta, chaveiro e outros)"
2925,Raybym Serviços de Instalações e Manutenção Predial LTDA,Material elétrico
2925,Raybym Serviços de Instalações e Manutenção Predial LTDA,Material para pintura
2925,Raybym Serviços de Instalações e Manutenção Predial LTDA,Obras e serviços na construção civil
2925,Raybym Serviços de Instalações e Manutenção Predial LTDA,Refrigeração
2925,Raybym Serviços de Instalações e Manutenção Predial LTDA,Segurança e proteção
2925,Raybym Serviços de Instalações e Manutenção Predial LTDA,Telecomunicações
2926,Uno Comércio de Materiais Elétricos Ltda.,Ferragens e ferramentas
2926,Uno Comércio de Materiais Elétricos Ltda.,Material elétrico
2926,Uno Comércio de Materiais Elétricos Ltda.,Material hidráulico
2926,Uno Comércio de Materiais Elétricos Ltda.,Material para construção
2926,Uno Comércio de Materiais Elétricos Ltda.,Material para pintura
2927,João Moro Serviços Automotivos Ltda.,Veículos (peças e acessórios)
2928,Atual Comercial Elétrica Ltda.,Ferragens e ferramentas
2928,Atual Comercial Elétrica Ltda.,Material elétrico
2928,Atual Comercial Elétrica Ltda.,Material hidráulico
2928,Atual Comercial Elétrica Ltda.,Material para construção
2928,Atual Comercial Elétrica Ltda.,Obras e serviços na construção civil
2931,GAMA COMERCIO DE ARTEFATOS DE METAIS LTDA,Limpeza e higiene
2932,R.M.S COMERCIO DE PRODUTOS ELETRONICOS LTDA,Audiovisual
2932,R.M.S COMERCIO DE PRODUTOS ELETRONICOS LTDA,Eletrodomésticos
2932,R.M.S COMERCIO DE PRODUTOS ELETRONICOS LTDA,Informática (acessórios e equipamentos)
2932,R.M.S COMERCIO DE PRODUTOS ELETRONICOS LTDA,Informática (softwares)
2932,R.M.S COMERCIO DE PRODUTOS ELETRONICOS LTDA,Refrigeração
2932,R.M.S COMERCIO DE PRODUTOS ELETRONICOS LTDA,Telecomunicações
2955,IBF Indústria Brasileira de Filmes SA,Material e equipamento gráfico
2955,IBF Indústria Brasileira de Filmes SA,Produtos químicos
2935,Bolivar Comercial de EmbalagensDescartaveis e Prestação de Serviços de Limpeza e Higienização Ltda,Copa e cozinha
2935,Bolivar Comercial de EmbalagensDescartaveis e Prestação de Serviços de Limpeza e Higienização Ltda,Limpeza e higiene
2935,Bolivar Comercial de EmbalagensDescartaveis e Prestação de Serviços de Limpeza e Higienização Ltda,"Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)"
2935,Bolivar Comercial de EmbalagensDescartaveis e Prestação de Serviços de Limpeza e Higienização Ltda,Papéis e cartões
2935,Bolivar Comercial de EmbalagensDescartaveis e Prestação de Serviços de Limpeza e Higienização Ltda,Produtos químicos
2936,TRYPLINE INDUSTRIA DE CONDUTORES ELETRICOS LTDA,Material elétrico
2937,INTER SHOPPING COMÉRCIO DE MÓVEIS LTDA - ME,Eletrodomésticos
2937,INTER SHOPPING COMÉRCIO DE MÓVEIS LTDA - ME,Mobiliário
3640,WILSON R. ALMEIDA PERSIANAS - ME,Tapeçaria e decoração
2939,COMÉRCIO E LOCAÇÕES DE EQUIPAMENTOS GREENSOUND LTDA.,Audiovisual
2939,COMÉRCIO E LOCAÇÕES DE EQUIPAMENTOS GREENSOUND LTDA.,Tradução simultânea
2940,UNICONSULT CONSULTORIA E TRADUÇÕES. S/S LTDA,Tradução de textos
2940,UNICONSULT CONSULTORIA E TRADUÇÕES. S/S LTDA,Tradução simultânea
2941,MGM-TS Locação de Equipamentos de Áudio Ltda - ME.,Tradução simultânea
2942,Alessandro de Barros ME,Tradução simultânea
2943,"WEV INDÚSTRIA, COMÉRCIO E LOCAÇÃO LTDA",Serviço de áudio e vídeo
2943,"WEV INDÚSTRIA, COMÉRCIO E LOCAÇÃO LTDA",Tradução simultânea
3427,VIA LUMENS AUDIO VIDEO E INFORMATICA LTDA,Audiovisual
3427,VIA LUMENS AUDIO VIDEO E INFORMATICA LTDA,Copa e cozinha
3427,VIA LUMENS AUDIO VIDEO E INFORMATICA LTDA,Eletrodomésticos
3427,VIA LUMENS AUDIO VIDEO E INFORMATICA LTDA,Refrigeração
3427,VIA LUMENS AUDIO VIDEO E INFORMATICA LTDA,Telecomunicações
2945,Force One Comercio e Locação de Equiptos. Ltda Me,Audiovisual
2945,Force One Comercio e Locação de Equiptos. Ltda Me,Informática (acessórios e equipamentos)
2945,Force One Comercio e Locação de Equiptos. Ltda Me,Serviço de áudio e vídeo
2945,Force One Comercio e Locação de Equiptos. Ltda Me,Tradução de textos
2945,Force One Comercio e Locação de Equiptos. Ltda Me,Tradução simultânea
2946,Ecogreen Comercio Var. de Coleores LTDA,Limpeza e higiene
2947,CRW SUPRIMENTOS DE INFORMÁTICA LTDA,Informática (suprimentos)
2948,GABRIELA ALBERTO MARTINS ME,Copa e cozinha
2948,GABRIELA ALBERTO MARTINS ME,Limpeza e higiene
2948,GABRIELA ALBERTO MARTINS ME,"Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)"
2950,GRÁFICA CAVALIERI-SP LTDA ME,Impressão gráfica
2951,IHD de Almeida EPP,Mobiliário
2952,"Arquicad, Arq. e Serviços Técnicos Ltda.",Tradução de textos
2952,"Arquicad, Arq. e Serviços Técnicos Ltda.",Tradução simultânea
2957,SMS TECNOLOGIA ELETRÔNICA LTDA,Informática (acessórios e equipamentos)
2957,SMS TECNOLOGIA ELETRÔNICA LTDA,Material e equipamento de laboratório
2957,SMS TECNOLOGIA ELETRÔNICA LTDA,Material elétrico
2958,ADS PAISAGISMO LTDA ME,"Plantas, mudas e insumos"
2959,OitoPontoCom Comunicação Ltda.,Audiovisual
2959,OitoPontoCom Comunicação Ltda.,Digitalização de textos
2959,OitoPontoCom Comunicação Ltda.,"Higienização e restauração de acervo (livros, documentos, slides, microfilmes e outros) "
2959,OitoPontoCom Comunicação Ltda.,Serviço de áudio e vídeo
3428,TECNO-AR SERVIÇOS DE REFRIGERAÇÃO LTDA,Material elétrico
3428,TECNO-AR SERVIÇOS DE REFRIGERAÇÃO LTDA,Refrigeração
2961,LUX MAIOR COMERCIAL LTDA EPP,Material elétrico
2962,FAST TRACK EVENTOS DE TRADUÇÃO SIMULTÂNEA S/S LTDA,Tradução simultânea
2965,Mend Comercio e Serviços Eletronicos LTDA- EPP,Telecomunicações
2969,IPCOM COMERCIAL LTDA - ME,Material elétrico
2968,TEBEL SUPRIMENTOS DE ESCRITÓRIO E INFORMÁTICA LTDA,Copa e cozinha
2968,TEBEL SUPRIMENTOS DE ESCRITÓRIO E INFORMÁTICA LTDA,Informática (acessórios e equipamentos)
2968,TEBEL SUPRIMENTOS DE ESCRITÓRIO E INFORMÁTICA LTDA,Informática (suprimentos)
2968,TEBEL SUPRIMENTOS DE ESCRITÓRIO E INFORMÁTICA LTDA,Limpeza e higiene
2968,TEBEL SUPRIMENTOS DE ESCRITÓRIO E INFORMÁTICA LTDA,Livros
2968,TEBEL SUPRIMENTOS DE ESCRITÓRIO E INFORMÁTICA LTDA,Material de escritório e desenho (papelaria)
2968,TEBEL SUPRIMENTOS DE ESCRITÓRIO E INFORMÁTICA LTDA,"Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)"
2968,TEBEL SUPRIMENTOS DE ESCRITÓRIO E INFORMÁTICA LTDA,Papéis e cartões
2970,BOLLATEL COMERCIO E SERVIÇOS LTDA,Telecomunicações
2971,HILSON GRANJA DA SILVA -UNIFORMES -ME,Uniformes
2972,IGM materiais eletricos ltda,Ferragens e ferramentas
2972,IGM materiais eletricos ltda,Informática (acessórios e equipamentos)
2972,IGM materiais eletricos ltda,Material elétrico
2973,VEC ENGENHARIA E GESTÃO LTDA,Obras e serviços na construção civil
2974,SENAL CONSTRUÇÕES E COMÉRCIO LTDA,Obras e serviços na construção civil
2975,Roberto Silvani de Pinho 29589632840,Copa e cozinha
2975,Roberto Silvani de Pinho 29589632840,Eletrodomésticos
2975,Roberto Silvani de Pinho 29589632840,Gêneros alimentícios
2975,Roberto Silvani de Pinho 29589632840,Refrigeração
2976,GTP - Grupo Técnico de Projetos S/S Ltda,Obras e serviços na construção civil
2977,INOVATH EXPRESS LTDA,Transportes
2978,Office Arquitetura e Planejamento Ltda,Obras e serviços na construção civil
2979,Support Produtos Nutricionais Ltda.,Gêneros alimentícios
2979,Support Produtos Nutricionais Ltda.,Médico-hospitalar
2980,luiz fernando baptistão arena me,Mobiliário
2981,D'FATTO INDUSTRIA E COMERCIO DE DIVISÓRIAS LTDA,Mobiliário
2981,D'FATTO INDUSTRIA E COMERCIO DE DIVISÓRIAS LTDA,Obras e serviços na construção civil
2982,FORTLINE INDÚSTRIA E COMÉRCIO DE MÓVEIS LTDA,Mobiliário
2983,ARES LINE LATINOAMERICA S/A,Mobiliário
2985,Anderson Lopes da Silva ME,Refrigeração
2988,GALDINO COMERCIAL LTDA-ME,"Combustíveis, gases e lubrificantes"
2988,GALDINO COMERCIAL LTDA-ME,Copa e cozinha
2988,GALDINO COMERCIAL LTDA-ME,Eletrodomésticos
2988,GALDINO COMERCIAL LTDA-ME,Encadernação de livros/revistas
2988,GALDINO COMERCIAL LTDA-ME,"Equipamentos e produtos para Biblioteca (itens para conservação, restauração, encadernação, detecção magnética e outros)"
2988,GALDINO COMERCIAL LTDA-ME,Ferragens e ferramentas
2988,GALDINO COMERCIAL LTDA-ME,Gêneros alimentícios
2988,GALDINO COMERCIAL LTDA-ME,"Higienização e restauração de acervo (livros, documentos, slides, microfilmes e outros) "
2988,GALDINO COMERCIAL LTDA-ME,Informática (acessórios e equipamentos)
2988,GALDINO COMERCIAL LTDA-ME,Informática (softwares)
2988,GALDINO COMERCIAL LTDA-ME,Informática (suprimentos)
2988,GALDINO COMERCIAL LTDA-ME,Jornais e revistas
