nid,title,ramo
3214,MAX LABOR PRODUTOS PARA LABORATÓRIO LTDA - ME,Material e equipamento de laboratório
3214,MAX LABOR PRODUTOS PARA LABORATÓRIO LTDA - ME,Médico-hospitalar
3214,MAX LABOR PRODUTOS PARA LABORATÓRIO LTDA - ME,Mobiliário (móveis de aço)
3214,MAX LABOR PRODUTOS PARA LABORATÓRIO LTDA - ME,Segurança e proteção - EPI
3214,MAX LABOR PRODUTOS PARA LABORATÓRIO LTDA - ME,Serviço de marcenaria
3189,ALVES ARGUELHO ENGENHARIA LTDA,Obras e serviços na construção civil
3189,ALVES ARGUELHO ENGENHARIA LTDA,Serviço de marcenaria
3189,ALVES ARGUELHO ENGENHARIA LTDA,Serviço de serralheria
3189,ALVES ARGUELHO ENGENHARIA LTDA,Vidraçaria
3190,PREMIER SHOP IMPORTAÇÃO E EXPORTAÇÃO LTDA,Audiovisual
3190,PREMIER SHOP IMPORTAÇÃO E EXPORTAÇÃO LTDA,Copa e cozinha
3190,PREMIER SHOP IMPORTAÇÃO E EXPORTAÇÃO LTDA,Eletrodomésticos
3190,PREMIER SHOP IMPORTAÇÃO E EXPORTAÇÃO LTDA,Ferragens e ferramentas
3190,PREMIER SHOP IMPORTAÇÃO E EXPORTAÇÃO LTDA,Gêneros alimentícios
3190,PREMIER SHOP IMPORTAÇÃO E EXPORTAÇÃO LTDA,Informática (acessórios e equipamentos)
3190,PREMIER SHOP IMPORTAÇÃO E EXPORTAÇÃO LTDA,Informática (softwares)
3190,PREMIER SHOP IMPORTAÇÃO E EXPORTAÇÃO LTDA,Informática (suprimentos)
3190,PREMIER SHOP IMPORTAÇÃO E EXPORTAÇÃO LTDA,Limpeza e higiene
3190,PREMIER SHOP IMPORTAÇÃO E EXPORTAÇÃO LTDA,Material de escritório e desenho (papelaria)
3190,PREMIER SHOP IMPORTAÇÃO E EXPORTAÇÃO LTDA,"Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)"
3190,PREMIER SHOP IMPORTAÇÃO E EXPORTAÇÃO LTDA,"Material para eventos (sacola, caneta, chaveiro e outros)"
3190,PREMIER SHOP IMPORTAÇÃO E EXPORTAÇÃO LTDA,Material para pintura
2626,Milani & Milani Ltda - ME,Tradução de textos
2626,Milani & Milani Ltda - ME,Tradução simultânea
2625,Frank Mili Comercio de carpetes Ltda EPP,Tapeçaria e decoração
3291,SALES INDÚSTRIA E COMÉRCIO DE MÁQUINAS LTDA,"Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)"
2721,MASSIS TEC LTDA,Informática (acessórios e equipamentos)
2721,MASSIS TEC LTDA,Informática (softwares)
2721,MASSIS TEC LTDA,Informática (suprimentos)
2720,MARIA ANGELA DE MORAES-ME,Gêneros alimentícios
2627,Imprensa Oficial do Estado S/A - IMESP,Impressão gráfica
2628,LAVORE COMERCIO DE MOVEIS E CADEIRAS PARA ESCRITÓRIO  LTDA.  EPP,Mobiliário
2628,LAVORE COMERCIO DE MOVEIS E CADEIRAS PARA ESCRITÓRIO  LTDA.  EPP,Tapeçaria e decoração
2629,FACIMAQ COM. MÓVEIS PARA ESCRITÓRIO ARARAQUARA LTDA - ME,Material e equipamento de laboratório
2629,FACIMAQ COM. MÓVEIS PARA ESCRITÓRIO ARARAQUARA LTDA - ME,Informática (acessórios e equipamentos)
2629,FACIMAQ COM. MÓVEIS PARA ESCRITÓRIO ARARAQUARA LTDA - ME,Mobiliário
2630,ELMAFLEX INDUSTRIA  E  COMERCIO  DE  MOVEIS  PARA ESCRITORIO LTDA.,Mobiliário
2631,ONIX MIDIA DIGITAL LTDA,Audiovisual
2631,ONIX MIDIA DIGITAL LTDA,Impressão gráfica
2631,ONIX MIDIA DIGITAL LTDA,Informática (acessórios e equipamentos)
2631,ONIX MIDIA DIGITAL LTDA,Material e equipamento gráfico
2631,ONIX MIDIA DIGITAL LTDA,Serviço de áudio e vídeo
2634,TEC IMPRES SERVIÇOS DE MANUTENÇÃO DE MÁQUINAS LTDA,Impressão gráfica
2635,SAM TECNOLOGIA EM INFORMATICA LTDA ME,Audiovisual
2635,SAM TECNOLOGIA EM INFORMATICA LTDA ME,Eletrodomésticos
2635,SAM TECNOLOGIA EM INFORMATICA LTDA ME,Informática (acessórios e equipamentos)
2635,SAM TECNOLOGIA EM INFORMATICA LTDA ME,Informática (softwares)
2635,SAM TECNOLOGIA EM INFORMATICA LTDA ME,Informática (suprimentos)
2930,RV Service Comercila Eletronica LTDA,Audiovisual
2930,RV Service Comercila Eletronica LTDA,Informática (acessórios e equipamentos)
2930,RV Service Comercila Eletronica LTDA,Informática (softwares)
2930,RV Service Comercila Eletronica LTDA,Informática (suprimentos)
2930,RV Service Comercila Eletronica LTDA,Segurança e proteção
2930,RV Service Comercila Eletronica LTDA,Serviço de áudio e vídeo
2930,RV Service Comercila Eletronica LTDA,Tapeçaria e decoração
2930,RV Service Comercila Eletronica LTDA,Telecomunicações
2638,MARTE INDUSTRIA DE MOBILIARIO LTDA EPP,Mobiliário
2639,BELLCOMSYS COM. E PREST. DE SERV. EM INFORMÁTICA LTDA.,Eletrodomésticos
2639,BELLCOMSYS COM. E PREST. DE SERV. EM INFORMÁTICA LTDA.,Informática (acessórios e equipamentos)
2639,BELLCOMSYS COM. E PREST. DE SERV. EM INFORMÁTICA LTDA.,Informática (softwares)
2639,BELLCOMSYS COM. E PREST. DE SERV. EM INFORMÁTICA LTDA.,Informática (suprimentos)
2639,BELLCOMSYS COM. E PREST. DE SERV. EM INFORMÁTICA LTDA.,Telecomunicações
3122,CASAGRANDE GOURMET BUFFET LTDA - ME,Copa e cozinha
3122,CASAGRANDE GOURMET BUFFET LTDA - ME,Organização de eventos e buffet
